profile_id,publication_status,verification_status,runner_readiness,toolkit_status,represented_controls,missing_or_approximated_controls,private_or_unavailable_assets,recreation_claim_allowed,required_before_exact_recreation,source_artifacts,manuscript_caveat
study5_box_breathing_pps,unpublished_lab_profile,verified,ready,local runnable example,"Study 5-style profile identity; white/pink frontal burst-train sources; inhale/exhale trial rows; stationary-burst baseline generation; repetition pool; block review; runner handoff","Not a published-paper recreation; lab-specific assumptions remain local","Original local/private Study 5 assets remain outside public claim unless rights are documented","Runnable suite example, not a published-study replication","Archive exact release profile manifests, source hashes, runner package, route validation, and any allowed instruction assets","assets/preloads/profile_recreation_status.json; assets/preloads/study5_box_breathing_pps/01_profile/profile_parameters_manifest.json; validation_evidence.csv","Use as the paper's runnable Study 5-style example, not as evidence that a published paradigm has been exactly replicated."
roussel_2025_dynaspace_mobile_pps,published,verified,ready,published verified run-ready profile,"Profile reference; burst-train source metadata; lateral/mobile timing anchors; SOA values; smartphone vibration tactile site; catch settings; trial-pool settings; Segment 6 materialization","Original mobile execution route is represented as profile metadata; PC runner route is a different acquisition route","Original app assets and smartphone hardware timing are not redistributed or inherited","Runnable represented profile for DynaSpace-style method recreation","Archive exact profile manifests, generated proxy source hashes, route-specific validation, and phone/PC timing distinction","assets/preloads/profile_recreation_status.json; assets/preloads/roussel_2025_dynaspace_mobile_pps/01_profile/profile_parameters_manifest.json; validation_evidence.csv","Claim software/profile materialization only; do not imply smartphone timing or haptic evidence transfers to the PC/Woojer route."
matsuda_2021_four_directions,published,verified,ready,published verified run-ready profile,"Profile reference; front/rear/left/right trajectory labels; generated source assets; SOA values; chest tactile site; tactile-only baseline; catch settings; trial-pool settings","Exact room/apparatus geometry and participant perceived direction still require local verification","Original laboratory hardware and any unreleased source assets are not redistributed","Runnable represented profile for four-direction PPS design recreation","Archive profile manifests, direction-specific source hashes, apparatus notes, localization/perceived-direction validation if claimed","assets/preloads/profile_recreation_status.json; assets/preloads/matsuda_2021_four_directions/01_profile/profile_parameters_manifest.json; validation_evidence.csv","Run-ready in current GUI; exact direction/perception claims require hardware and localization evidence."
barumerli_2026_arm_movement_exp1,published,verified,ready,published verified run-ready profile,"Profile reference; looming/receding generated sources; movement-context metadata; SOA values; right-index-finger and chest tactile labels; tactile-only baseline; catch settings; repetition settings","Arm-movement execution context is represented as metadata unless local apparatus/tracking is implemented","Original apparatus and any movement-monitoring materials are not redistributed","Runnable represented profile for the audio-tactile timing scaffold","Add movement-task apparatus notes, timing/response validation, and any motor-state manipulation evidence before exact replication language","assets/preloads/profile_recreation_status.json; assets/preloads/barumerli_2026_arm_movement_exp1/01_profile/profile_parameters_manifest.json; validation_evidence.csv","Treat as a runnable audio-tactile scaffold; do not claim motor-execution equivalence without the movement procedure."
barumerli_2026_arm_movement_exp2,published,verified,ready,published verified run-ready profile,"Profile reference; looming/receding generated sources; movement-context metadata; SOA values; right-index-finger and chest tactile labels; tactile-only baseline; catch settings; repetition settings","Arm-movement execution context is represented as metadata unless local apparatus/tracking is implemented","Original apparatus and any movement-monitoring materials are not redistributed","Runnable represented profile for the audio-tactile timing scaffold","Add movement-task apparatus notes, timing/response validation, and any motor-state manipulation evidence before exact replication language","assets/preloads/profile_recreation_status.json; assets/preloads/barumerli_2026_arm_movement_exp2/01_profile/profile_parameters_manifest.json; validation_evidence.csv","Treat as a runnable audio-tactile scaffold; do not claim motor-execution equivalence without the movement procedure."
noel_2015_bodily_self,published,verified,ready,published verified run-ready profile,"Profile reference; bodily-self profile timing; source asset; trajectory snapshot; SOA values; chest tactile site; tactile-only baseline; catch settings; repetition settings","Embodiment/self-location context is represented procedurally only where encoded in the profile","Any original contextual apparatus or unreleased materials are not redistributed","Runnable represented profile for the encoded audio-tactile scaffold","Archive profile manifests, body-context notes, response validation, and any embodiment manipulation evidence before exact replication language","assets/preloads/profile_recreation_status.json; assets/preloads/noel_2015_bodily_self/01_profile/profile_parameters_manifest.json; validation_evidence.csv","Run-ready for encoded timing/profile fields; not proof of identical embodiment manipulation."
pfeiffer_2018_lateral_perihead_left_to_right,published,verified,ready,published verified run-ready profile,"Profile reference; bilateral lateral trajectory assets; trajectory snapshots; SOA values; hand tactile site; tactile-only baseline; catch settings; repetition settings","Vestibular/contextual manipulation is not reproduced unless local apparatus is supplied","Original apparatus/context materials are not redistributed","Runnable represented profile for lateral peri-head timing and trajectory scaffold","Add vestibular/apparatus protocol notes and route validation before exact replication language","assets/preloads/profile_recreation_status.json; assets/preloads/pfeiffer_2018_lateral_perihead_left_to_right/01_profile/profile_parameters_manifest.json; validation_evidence.csv","Run-ready for current GUI fields; exact vestibular-context claims remain outside the software profile."
study5_dynaspace_lateral_45_pps,unpublished_lab_profile,verified,ready,local runnable example,"Local DynaSpace-inspired lateral 45-degree profile; generated burst-train sources; SOA values; tactile/catch/repetition settings; runner handoff","Not a published-paper recreation; lab-specific assumptions remain local","Original DynaSpace/mobile assets are provenance only unless rights are verified","Runnable local variant example, not a published-study replication","Archive exact release profile manifests, generated source hashes, and route validation","assets/preloads/profile_recreation_status.json; assets/preloads/study5_dynaspace_lateral_45_pps/01_profile/profile_parameters_manifest.json","Use as a local design variant demonstrating suite flexibility, not as an exact published recreation."
serino_2015_peri_trunk_exp1,published,partial,ready,partial but materializable published scaffold,"Profile reference; peri-trunk source assets; trajectory snapshots; SOA values; sternum/chest tactile site; tactile-only baseline; catch settings; repetition settings","Source audit is partial; exact apparatus/gain details should be checked before final publication claim","Original apparatus/source specifics may be unavailable or not redistributed","Runnable scaffold for encoded peri-trunk PPS timing fields","Complete source-paper/supplement audit, rights review, route validation, and profile-specific substitution notes","assets/preloads/profile_recreation_status.json; assets/preloads/serino_2015_peri_trunk_exp1/01_profile/profile_parameters_manifest.json; validation_evidence.csv","Materializable but should be described as a partial scaffold unless final source audit closes."
canzoneri_2013_amputation_prosthesis,published,partial,blocked_missing_parameters,blocked source-parameter scaffold,"Profile identity and citation; partial clinical/prosthesis PPS scaffold","Exact trial count and tactile calibration table from full paper missing","Original apparatus and calibration details not available in current profile","Not recreation-ready; scaffold only","Recover full method table/supplement, encode trial counts and tactile calibration, rerun profile gate and materialization validation","assets/preloads/profile_recreation_status.json; assets/preloads/canzoneri_2013_amputation_prosthesis/01_profile/profile_parameters_manifest.json","Do not call run-ready until missing method parameters are encoded."
